,1_lost_demand,1_fulfilled_demand,1_cost,1_cost_after_disruption,1_loss,2_lost_demand,2_fulfilled_demand,2_cost,2_cost_after_disruption,2_loss
0,0.0,1000.0,170.89976995599116,0.0,0.0,305.6640228982115,1000.0,170.89976995599116,0.0,0.0
1,0.0,1000.0,270.461006311089,0.0,0.0,489.437674964433,1000.0,270.461006311089,0.0,0.0
2,0.0,1000.0,70.9594381057955,0.0,0.0,128.4650176014228,1000.0,70.9594381057955,0.0,0.0
3,0.0,1000.0,90.16645860535019,0.0,0.0,189.37180852730697,1000.0,90.16645860535019,0.0,0.0
4,0.0,1000.0,217.78003236107222,0.0,0.0,418.9888198975045,1000.0,217.78003236107222,217.77690448177466,0.0
5,0.0,1000.0,110.67027897589885,0.0,0.0,190.47813177470752,1000.0,110.67027897589885,0.0,0.0
6,0.0,1000.0,256.9062227782775,0.0,0.0,500.64121366839595,1000.0,256.9062227782775,256.9030948989799,0.0
7,0.0,1000.0,270.87897735568686,0.0,0.0,514.236536622019,1000.0,270.87897735568686,0.0,0.0
8,0.0,1000.0,160.61594122991983,0.0,0.0,306.79303870283934,1000.0,160.61594122991983,0.0,0.0
9,0.0,1000.0,97.03257479290669,0.0,0.0,207.9930416730384,1000.0,97.03257479290669,0.0,0.0
